word,transcription
diplomat,ˈdɪ.plə.mæt
diplomacy,dɪ.ˈploʊ.mə.si
diplomatic,ˌdɪ.plə.ˈmæ.tɪk
monotone,ˈmɑ.nə.toʊn
monotony,mə.ˈnɑ.tə.ni
monotonic,mɑ.nə.ˈtɑ.nɪk
multiply,ˈmʌl.tə.plaɪ
multiple,ˈmʌl.tə.pəl
regulate,ˈrɛ.ɡjə.leɪt
regular,ˈrɛ.ɡjə.lər
copulate,ˈkɑ.pjə.leɪt
copula,ˈkɑ.pjə.lə
circulate,ˈsɜr.kjə.leɪt
circular,ˈsɜr.kjə.lər
criticize,ˈkrɪ.tɪ.saɪz
critical,ˈkrɪ.tɪ.kəl
minimize,ˈmɪ.nɪ.maɪz
minimal,ˈmɪ.nɪ.məl
explain,ɪk.spleɪn
explanation,ɛk.splə.ˈneɪ.ʃən
exploit,ɪk.ˈsplɔɪt
exploitation,ɛk.splɔɪ.ˈteɪ.ʃən
photograph,ˈfoʊ.tə.ɡræf
photography,fə.ˈtɑ.ɡrə.fi
photographic,foʊ.tə.ˈɡræ.fɪk
